LSOA11CD,facility_count
E01000005,7
E01000007,13
E01000008,1
E01000009,16
E01000010,28
E01000011,3
E01000013,14
E01000014,1
E01000015,1
E01000016,3
E01000017,3
E01000019,2
E01000020,9
E01000021,9
E01000023,8
E01000024,2
E01000025,2
E01000027,14
E01000029,2
E01000030,12
E01000031,9
E01000032,3
E01000034,5
E01000035,12
E01000036,2
E01000037,1
E01000038,3
E01000039,4
E01000040,8
E01000041,4
E01000042,3
E01000043,10
E01000045,19
E01000046,2
E01000048,4
E01000049,3
E01000050,4
E01000051,5
E01000052,5
E01000053,10
E01000056,2
E01000057,4
E01000058,6
E01000060,11
E01000061,11
E01000062,2
E01000063,5
E01000064,6
E01000065,5
E01000067,2
E01000068,4
E01000070,11
E01000071,3
E01000072,5
E01000073,3
E01000074,1
E01000075,7
E01000077,5
E01000078,3
E01000079,2
E01000080,4
E01000081,1
E01000082,2
E01000083,6
E01000084,5
E01000085,6
E01000086,1
E01000087,11
E01000088,8
E01000089,2
E01000090,18
E01000091,8
E01000092,46
E01000093,6
E01000094,20
E01000095,39
E01000096,7
E01000097,14
E01000098,8
E01000099,4
E01000100,1
E01000101,4
E01000102,4
E01000103,12
E01000104,7
E01000105,6
E01000106,4
E01000108,1
E01000109,4
E01000110,2
E01000111,8
E01000112,13
E01000113,7
E01000114,9
E01000115,3
E01000116,6
E01000117,3
E01000118,10
E01000119,2
E01000120,2
E01000121,2
E01000122,3
E01000123,5
E01000124,8
E01000125,3
E01000126,3
E01000127,3
E01000128,1
E01000129,17
E01000130,3
E01000131,3
E01000132,1
E01000133,3
E01000134,6
E01000135,10
E01000136,3
E01000137,3
E01000138,11
E01000139,15
E01000140,11
E01000141,25
E01000142,1
E01000143,3
E01000144,7
E01000145,2
E01000146,8
E01000147,2
E01000148,13
E01000150,3
E01000151,4
E01000152,5
E01000153,1
E01000154,2
E01000155,8
E01000156,5
E01000158,1
E01000159,8
E01000160,3
E01000161,7
E01000162,13
E01000163,1
E01000164,24
E01000166,2
E01000167,5
E01000168,2
E01000169,1
E01000170,3
E01000171,8
E01000172,5
E01000173,7
E01000174,9
E01000175,4
E01000176,2
E01000178,3
E01000180,2
E01000181,7
E01000182,8
E01000183,7
E01000184,14
E01000185,3
E01000186,7
E01000187,3
E01000188,7
E01000189,4
E01000190,1
E01000191,8
E01000192,7
E01000193,7
E01000194,18
E01000195,1
E01000196,9
E01000197,7
E01000198,7
E01000199,4
E01000200,5
E01000201,4
E01000202,3
E01000203,18
E01000204,3
E01000205,7
E01000206,26
E01000207,17
E01000208,18
E01000209,6
E01000210,11
E01000211,19
E01000212,7
E01000213,2
E01000214,14
E01000215,5
E01000218,3
E01000219,5
E01000220,2
E01000221,12
E01000222,8
E01000223,22
E01000224,1
E01000225,7
E01000226,4
E01000227,3
E01000228,9
E01000229,3
E01000230,3
E01000231,8
E01000232,4
E01000233,4
E01000234,4
E01000235,7
E01000236,6
E01000237,16
E01000238,6
E01000239,10
E01000240,9
E01000242,11
E01000243,10
E01000244,5
E01000245,2
E01000246,7
E01000247,1
E01000248,14
E01000249,5
E01000250,24
E01000251,5
E01000252,3
E01000253,14
E01000254,11
E01000255,4
E01000256,8
E01000257,13
E01000258,12
E01000259,3
E01000260,13
E01000261,12
E01000262,11
E01000263,4
E01000264,18
E01000265,2
E01000266,5
E01000267,4
E01000268,10
E01000269,4
E01000270,4
E01000271,6
E01000272,3
E01000273,16
E01000274,5
E01000275,3
E01000276,1
E01000277,1
E01000278,5
E01000279,17
E01000280,7
