LSOA_ID,traffic_signals,surveillance,traffic_sign,total_facilities,Road_Length,total_per_km
E01000001,9.0,0.0,0.0,9.0,2855.474246,3.151840718790359
E01000002,6.0,6.0,0.0,12.0,4288.325821,2.7982948360023876
E01000003,0.0,0.0,0.0,0.0,1073.346027,0.0
E01000005,35.0,12.0,0.0,47.0,4528.304022,10.379161772632411
E01000006,0.0,0.0,0.0,0.0,2703.273461,0.0
E01000007,9.0,0.0,0.0,9.0,4374.712212,2.0572781851369926
E01000008,0.0,0.0,0.0,0.0,2575.975061,0.0
E01000009,9.0,0.0,0.0,9.0,2802.568445,3.211339946418329
E01000011,2.0,0.0,0.0,2.0,1477.248193,1.3538686386465595
E01000012,0.0,0.0,0.0,0.0,2027.089873,0.0
E01000013,6.0,0.0,0.0,6.0,2990.028112,2.0066700964850326
E01000014,0.0,0.0,0.0,0.0,3376.400099,0.0
E01000015,0.0,0.0,0.0,0.0,3056.17998,0.0
E01000016,0.0,0.0,0.0,0.0,2806.28288,0.0
E01000017,0.0,0.0,0.0,0.0,2490.133703,0.0
E01000018,0.0,0.0,0.0,0.0,2414.489098,0.0
E01000019,0.0,0.0,0.0,0.0,3025.684694,0.0
E01000020,1.0,0.0,0.0,1.0,3324.529464,0.300794446500956
E01000021,5.0,0.0,0.0,5.0,3518.935172,1.4208843742802546
E01000022,0.0,0.0,0.0,0.0,2605.995798,0.0
E01000024,0.0,0.0,0.0,0.0,2419.187316,0.0
E01000025,1.0,0.0,0.0,1.0,2289.236249,0.4368269113495066
E01000027,3.0,0.0,0.0,3.0,9293.002247,0.32282355263267803
E01000028,0.0,0.0,0.0,0.0,2454.175281,0.0
E01000029,0.0,0.0,0.0,0.0,4544.523255,0.0
E01000030,5.0,0.0,0.0,5.0,5511.193621,0.9072444816578147
E01000031,4.0,0.0,0.0,4.0,7767.148726,0.5149894950009484
E01000032,2.0,0.0,0.0,2.0,4412.085612,0.4533003608453099
E01000033,0.0,0.0,0.0,0.0,2518.416867,0.0
E01000034,0.0,0.0,0.0,0.0,4555.177873,0.0
E01000035,3.0,0.0,0.0,3.0,5161.218678,0.5812580685231721
E01000036,0.0,0.0,0.0,0.0,5506.461006,0.0
